Part Type,OP,Total run time (including set up and take down) in hrs,Total # of machines / servers,Special Notes,59 Made
A,25,8,2,"[2312,2301]",
A,40,10.00,1,[2313],
A,50,2.00,1,[2313],
A,60,120.00,5,"[2276,2299,2277,2292,2318]",
A,70,6.50,1,,
A,80,0.50,1,,
A,90,40.00,5,[29389],
A,93,1.00,1,,
A,95,0.50,6,[Machine shop inspection],
A,100,5.06,1,[NORMAL ETCH],
A,110,1.02,1,[Fluorescent Pen Inspect],
A,150,1.00,1,,
A,175,2.00,7,[Processing inspection],
A,200,3.34,2,[Shot peen],
A,450,2.00,1,,
A,500,2.00,5,,
A,550,2.00,3,,
A,600,2.00,2,,
A,626,1.50,6,[Machine shop inspection],
A,635,2.00,1,,
A,650,1.50,2,,
A,700,4.00,2,[HVOF SPRAY],
A,750,7.00,4,[HVOF GRIND],
A,775,1.00,2,[HVOF SUPERFINISH],
A,850,1.42,2,,
A,875,4.00,5,[Processing inspection],
A,950,4.00,1,[Install bushing],
A,1000,7.00,1,,
A,1050,2.00,5,[Final Inspection],
A,1150,24.00,1,[Bond stud flanges],
A,1180,12.00,1,,
A,1200,1.50,5,[Final Inspection],
,,,,,
Part Type,OP,Total run time (including set up and take down) in hrs,Total # of machines / servers,Special Notes,86 Made
B,20,16.00,2,"[2301,2312]",
B,30,30.00,3,"[2277,2295,2311]",
B,40,13.00,1,[2313],
B,50,0.50,1,[29711],
B,60,11.80,5,[29388],
B,65,2.50,6,[Machine shop inspection],
B,80,336.00,1,[HEAT TREAT],
B,90,2.00,5,,
B,100,13.50,2,"[2301,2312]",
B,110,70.00,2,"[2298,2277]",
B,130,18.00,1,[2194],
B,140,8.50,5,[29389],
B,145,2.00,6,[Machine shop inspection],
B,170,12.00,1,[NITAL ETCH],
B,180,5.00,5,[EMB BAKE],
B,190,3.00,2,[MPI],
B,200,7.50,2,[Shot peen],
B,210,2.00,2,,
B,220,4.00,1,,
B,250,3.00,1,,
B,270,3.70,1,[FLASH CHROME],
B,280,13.00,5,[EMB BAKE],
B,290,3.00,2,,
B,300,2.00,1,[CHROME POLISH],
B,310,1.00,1,,
B,320,3.00,1,,
B,330,6.50,2,[HVOF SPRAY],
B,340,5.00,3,[HVOF GRIND],
B,345,1.00,3,[HVOF SUPERFINISH],
B,360,1.00,2,[LPI],
B,375,2.00,5,[Processing inspection],
B,380,1.00,2,,
B,390,1.00,1,,
B,400,2.00,1,[CAD PLATE],
B,410,24.00,5,[EMB BAKE],
B,420,1.00,1,[CHROME PLATE],
B,430,3.00,1,,
B,450,3.00,2,,
B,460,2.00,1,[MPI],
B,480,2.00,5,[Processing inspection],
B,500,10.50,4,[Paint shop Primer],
B,550,4.00,4,[Mask (paint shop) Primer],
B,600,4.00,4,[Paint shop Primer],
B,650,1.00,1,,
B,700,4.00,1,[Install bushing],
B,750,4.00,1,[Hone after bush],
B,775,1.00,1,,
B,800,0.50,1,,
B,825,3.00,4,[Paint shop (Topcoat)],
B,850,2.50,4,[Paint shop (Topcoat)],
B,900,4.00,4,[Paint shop (Topcoat)],
B,950,13.00,1,[Install axle / safety cable],
B,1000,2.50,5,[Paint shop (seal around bushing)],
B,1050,1.00,4,,
B,1150,2.00,5,[Final Inspection],
,,,,,
Part Type,OP,Total run time (including set up and take down) in hrs,Total # of machines / servers,Special Notes, 123 Made
C,100,18.9,2,"[2301,2312]",
C,120,6.30,3,"[2302,20956,29407]",
C,130,22.60,1,[2313],
C,140,10.50,1,[2313],
C,160,12.20,1,[2313],
C,170,18.10,1,[2313],
C,180,14.00,1,[2313],
C,190,34.40,2,"[2301,2312]",
C,195,204.00,2,"[2317,2318] ",NOTE YOU DO EITHER 195 + 197 OR 200-270. NOT BOTH IN ONE ONE
C,197,44.00,2,"[2317,2318]",
C,200,6.00,6,"[2302,20265,26069,21338,20956,29407]",
C,210,62.00,2,"[21034,21269]",
C,220,3.00,5,"[2302,20265,26069,20956,29407]",
C,230,43.00,3,"[29407,29001,29128]",
C,240,17.00,2,"[21034,21269]",
C,250,4.00,4,"[2302,26069,20956,29407]",
C,260,47.00,3,"[21010,21132,21331]",
C,270,9.00,1,[21335],
C,272,2.00,1,[Machine shop Inspection - SCAN BEFORE DEBURR],
C,280,41.00,5,[29389],
C,290,2.00,1,[PART MARKING],
C,295,0.58,1,,
C,300,9.50,2,"[21278,29750]",
C,305,5.00,6,[Machine shop Inspection - Wall thickness],
C,306,2.00,1,[SCAN AFTER DEBURR],
C,310,5.00,1,[NORMAL ETCH],
C,320,1.20,1,[LPI],
C,330,1.00,1,,
C,400,5.50,2,"[2314,29050]",
C,600,13.00,3,"[29750,20613,21278]",
C,625,5.00,6,[Machine shop Inspection - Wall thickness],
C,675,4.50,1,[Flash etch],
C,690,5,5,[29388],
C,700,5,1,[28935],
C,750,4.00,1,[28935],
C,800,8.00,1,[28935],
C,850,1.50,1,[28935],
C,950,25.00,1,[29359],
C,1000,5.00,1,[Final Inspection],
,,,,,
Part Type,OP,Total run time (including set up and take down) in hrs,Total # of machines / servers,Special Notes,94 Made
D,20,14.00,5,"[2301,2312,20740,20710,20910]",
D,30,1.90,1,[20219],
D,40,11.00,2,"[29123,29407]",
D,50,0.50,1,[29711],
D,60,0.50,3,"[21034,21269,29050]",
D,70,15.00,2,"[29001,29128]",
D,80,16.40,3,"[21806,20740,20710]",
D,85,6.20,1,"[21806,20740,20710]",
D,90,9.00,5,[29388],
D,93,1.00,1,,
D,95,1.00,1,,
D,100,336.00,,[HEAT TREAT],
D,120,24.00,4,"[21950,20740,20710,20910]",
D,140,17.00,1,[29123],
D,150,12.00,1,[29001],
D,160,19.00,1,[29123],
D,180,24.00,1,[21242],
D,190,14.00,4,"[20740,20710,20910,21950]",
D,195,7.00,2,"[2194,27115]",
D,200,6.00,5,[29389],
D,205,5.00,6,[Machine Shop Inspection],
D,220,1.00,1,[GRIT BLAST],
D,230,0.75,1,[29383],
D,240,8.00,4,[29385],
D,250,1.00,1,[29713],
D,400,4.18,2,"[29382,29050]",
D,450,2.00,3,"[21278,28395,29750]",
D,500,1.50,1,[28395],
D,525,1.00,2,"[28935,21212]",
D,540,2.50,1,[21605],
D,550,2.50,2,"[21605A,29050]",
D,565,3.00,1,[29384],
D,570,2.50,2,"[21605A,29050]",
D,585,3.00,1,[29384],
D,590,0.50,2,"[21605A,29050]",
D,600,6.00,2,"[29742,29050]",
D,625,8.00,3,"[29140,21149,29050]",
D,650,5.50,2,"[21335,29050]",
D,660,4.00,2,"[21335,29050]",
D,700,1.00,2,"[29714,29050]",
D,750,3.00,1,[29384],
D,775,5.00,1,[Mask Plating],
D,800,5.00,2,"[29391,29502]",
D,850,23.00,2,"[29385,29050]",
D,900,1.00,5,[29388],
D,950,2.00,2,"[21278,28935]",
D,1000,2.00,1,[Mask Plating],
D,1050,1.30,1,[CAD PLATE],
D,1100,23.00,1,[29385],
D,1150,1.00,1,[29376],
D,1200,2.00,1,[29389],
D,1250,1.00,1,[29713],
D,1300,1.00,1,[21268],
D,1325,2.00,5,[Processing inspection],
D,1350,1.46,1,[29713],
D,1400,4.00,1,[29349],
D,1450,1.72,1,[29350],
D,1500,2.00,1,[28935],
D,1550,4.00,1,[28935],
D,1700,5.00,1,"[29353,29349]",
D,1800,7.50,1,[28935],
D,1850,3.14,1,[29353],